,Society,Location,Rent,Carpet Area,Rate,BHK,Bath,Furnished,Power Back Up,Lift,Swimming Pool,Gym,Loc
814,OTHER,AAREY MILK COLONY,22920.0,382.0,60.0,1.0,1.0,0.0,0,0,0,0,OTHER AAREY MILK COLONY
815,OTHER,GOREGAON EAST,22750.0,650.0,35.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
816,ROYAL PALMS,GOREGAON EAST,23200.0,400.0,58.0,1.0,1.0,1.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
817,SANKALP SIDDHI,GOKULDHAM,23180.0,380.0,61.0,1.0,2.0,0.0,0,0,0,0,SANKALP SIDDHI GOKULDHAM
818,RESIDENTIAL HOUSE FOR RENT,GOKULDHAM,22790.0,430.0,53.0,1.0,1.0,0.5,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOKULDHAM
819,ROYAL PALMS RUBY ISLE APARTMENT,GOREGAON EAST,23030.0,490.0,47.0,2.0,2.0,1.0,1,1,1,1,ROYAL PALMS RUBY ISLE APARTMENT GOREGAON EAST
820,OTHER,GOREGAON EAST,23136.0,723.0,32.0,2.0,2.0,0.0,0,0,0,0,OTHER GOREGAON EAST
821,GOKULDHAM,GOKULDHAM,23180.0,380.0,61.0,1.0,1.0,0.0,0,0,0,0,GOKULDHAM GOKULDHAM
822,GARDEN VIEW APARTMENT,ROYAL PALMS ESTATE,22040.0,380.0,58.0,1.0,1.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT ROYAL PALMS ESTATE
823,SUMMIT APARTMENT,ROYAL PALMS ESTATE,22040.0,380.0,58.0,1.0,1.0,0.5,1,1,1,1,SUMMIT APARTMENT ROYAL PALMS ESTATE
824,ROYAL PALMS,GOREGAON EAST,21840.0,390.0,56.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
825,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,22200.0,600.0,37.0,2.0,2.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
826,POONAM ENCLAVE,GOREGAON EAST,22080.0,480.0,46.0,1.0,2.0,0.5,0,1,0,0,POONAM ENCLAVE GOREGAON EAST
827,GARDEN VIEW APARTMENT,ROYAL PALMS ESTATE,22040.0,380.0,58.0,1.0,1.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT ROYAL PALMS ESTATE
828,GARDEN VIEW APARTMENT,AAREY MILK COLONY,21945.0,385.0,57.0,1.0,1.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT AAREY MILK COLONY
829,OTHER,BANGUR NAGAR,22050.0,450.0,49.0,1.0,1.0,0.0,0,0,0,0,OTHER BANGUR NAGAR
830,ROYAL PALMS DIAMOND ISLE PHASE I,ROYAL PALMS ESTATE,22140.0,540.0,41.0,2.0,2.0,0.0,1,1,1,1,ROYAL PALMS DIAMOND ISLE PHASE I ROYAL PALMS ESTATE
831,ROYAL PALMS DIAMOND ISLE PHASE I,ROYAL PALMS ESTATE,22140.0,540.0,41.0,2.0,2.0,0.0,1,1,1,1,ROYAL PALMS DIAMOND ISLE PHASE I ROYAL PALMS ESTATE
832,ROYAL PALMS,GOREGAON EAST,21830.0,590.0,37.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
833,OTHER,GOKULDHAM,21850.0,437.0,50.0,1.0,1.0,0.5,0,0,0,0,OTHER GOKULDHAM
834,GOKULDHAM,GOREGAON EAST,21350.0,350.0,61.0,1.0,1.0,0.5,0,0,0,0,GOKULDHAM GOREGAON EAST
835,GOLDEN ISLE,AAREY MILK COLONY,21120.0,330.0,64.0,1.0,1.0,1.0,0,0,0,0,GOLDEN ISLE AAREY MILK COLONY
836,GANESH NIWAS,GOREGAON WEST,19800.0,450.0,44.0,1.0,1.0,0.0,0,0,0,0,GANESH NIWAS GOREGAON WEST
837,ROYAL PALMS,GOREGAON EAST,19890.0,390.0,51.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
838,GARDEN VIEW APARTMENT,GOREGAON EAST,19890.0,510.0,39.0,1.0,1.0,0.5,0,0,0,0,GARDEN VIEW APARTMENT GOREGAON EAST
839,OTHER,GOREGAON EAST,20160.0,480.0,42.0,1.0,1.0,0.5,0,0,0,0,OTHER GOREGAON EAST
840,RESIDENTIAL HOUSE FOR RENT,ROYAL PALMS ESTATE,20150.0,650.0,31.0,1.0,1.0,1.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT ROYAL PALMS ESTATE
841,OTHER,GOREGAON EAST,20000.0,400.0,50.0,1.0,1.0,0.5,0,0,0,0,OTHER GOREGAON EAST
842,ROYAL PALMS,GOREGAON EAST,20160.0,360.0,56.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
843,GOLDEN ISLE,AAREY MILK COLONY,20060.0,340.0,59.0,1.0,1.0,1.0,0,0,0,0,GOLDEN ISLE AAREY MILK COLONY
844,OTHER,GOREGAON EAST,19950.0,350.0,57.0,1.0,1.0,1.0,0,0,0,0,OTHER GOREGAON EAST
845,GARDEN VIEW APARTMENT,GOREGAON EAST,20000.0,400.0,50.0,1.0,1.0,0.0,0,0,0,0,GARDEN VIEW APARTMENT GOREGAON EAST
846,OTHER,"GOREGAON EAST, NAGPUR",19800.0,900.0,22.0,2.0,2.0,1.0,0,0,0,0,"OTHER GOREGAON EAST, NAGPUR"
847,ROYAL PALMS,GOREGAON EAST,19950.0,350.0,57.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
848,OTHER,GOREGAON EAST,20160.0,840.0,24.0,2.0,2.0,0.0,0,0,0,0,OTHER GOREGAON EAST
849,OTHER,GOREGAON WEST,20000.0,250.0,80.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
850,SUMMIT APARTMENT,AAREY MILK COLONY,18865.0,385.0,49.0,1.0,1.0,0.0,1,1,1,1,SUMMIT APARTMENT AAREY MILK COLONY
851,OTHER,AAREY MILK COLONY,19125.0,425.0,45.0,1.0,1.0,0.0,0,0,0,0,OTHER AAREY MILK COLONY
852,OTHER,PIRAMAL NAGAR,18900.0,300.0,63.0,1.0,1.0,0.5,0,0,0,0,OTHER PIRAMAL NAGAR
853,ROYAL PALMS,AAREY MILK COLONY,18900.0,270.0,70.0,1.0,1.0,1.0,0,0,0,0,ROYAL PALMS AAREY MILK COLONY
854,GARDEN VIEW APARTMENT,AAREY MILK COLONY,18095.0,385.0,47.0,1.0,1.0,0.0,0,0,0,0,GARDEN VIEW APARTMENT AAREY MILK COLONY
855,BUILDER FLOOR,GOREGAON WEST,18150.0,550.0,33.0,1.0,1.0,0.0,0,0,0,0,BUILDER FLOOR GOREGAON WEST
856,SUMMIT APARTMENT,AAREY MILK COLONY,18095.0,385.0,47.0,1.0,1.0,0.0,1,1,1,1,SUMMIT APARTMENT AAREY MILK COLONY
857,OTHER,GOREGAON WEST,18000.0,500.0,36.0,2.0,2.0,1.0,0,0,0,0,OTHER GOREGAON WEST
858,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,18200.0,650.0,28.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
859,OTHER,GOREGAON EAST,18000.0,300.0,60.0,1.0,1.0,1.0,0,0,0,0,OTHER GOREGAON EAST
860,OTHER,GOREGAON WEST,18000.0,300.0,60.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON WEST
861,ROYAL PALMS,GOREGAON EAST,17000.0,340.0,50.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
862,OTHER,SHIVAJI NAGAR,17500.0,350.0,50.0,1.0,1.0,1.0,0,0,0,0,OTHER SHIVAJI NAGAR
863,ROYAL PALMS,GOREGAON EAST,17160.0,390.0,44.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
864,OTHER,GOREGAON EAST,17150.0,350.0,49.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
865,ROYAL PALMS,ROYAL PALMS ESTATE,16800.0,420.0,40.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS ROYAL PALMS ESTATE
866,OTHER,GOKULDHAM,17010.0,270.0,63.0,1.0,1.0,0.0,0,0,0,0,OTHER GOKULDHAM
867,SUMMIT APARTMENT,AAREY MILK COLONY,17082.0,234.0,73.0,1.0,1.0,1.0,1,1,1,1,SUMMIT APARTMENT AAREY MILK COLONY
868,ROYAL PALMS RUBY ISLE APARTMENT,GOREGAON EAST,17200.0,400.0,43.0,1.0,1.0,0.0,1,1,1,1,ROYAL PALMS RUBY ISLE APARTMENT GOREGAON EAST
869,ROYAL PALMS RUBY ISLE APARTMENT,GOREGAON EAST,17200.0,400.0,43.0,1.0,1.0,0.0,1,1,1,1,ROYAL PALMS RUBY ISLE APARTMENT GOREGAON EAST
870,OTHER,GOREGAON EAST,17200.0,400.0,43.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
871,OTHER,GOREGAON WEST,17250.0,575.0,30.0,1.0,1.0,0.5,0,0,0,0,OTHER GOREGAON WEST
872,OTHER,GOREGAON WEST,16800.0,600.0,28.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
873,VANRAI COLONY,GOREGAON EAST,16863.0,231.0,73.0,1.0,1.0,1.0,0,0,0,0,VANRAI COLONY GOREGAON EAST
874,ROYAL PALMS RUBY ISLE APARTMENT,ROYAL PALMS ESTATE,15960.0,380.0,42.0,1.0,1.0,0.0,1,1,1,1,ROYAL PALMS RUBY ISLE APARTMENT ROYAL PALMS ESTATE
875,RESIDENTIAL HOUSE FOR RENT,SHIVAJI NAGAR,15000.0,300.0,50.0,2.0,2.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT SHIVAJI NAGAR
876,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,15000.0,300.0,50.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
877,OTHER,GOREGAON,15105.0,285.0,53.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON
878,OTHER,GOREGAON WEST,15000.0,250.0,60.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
879,OTHER,GOREGAON EAST,14040.0,270.0,52.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
880,OTHER,GOREGAON EAST,13950.0,450.0,31.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
881,ROYAL PALMS DIAMOND ISLE PHASE I,AAREY MILK COLONY,12939.0,227.0,57.0,1.0,1.0,0.0,1,1,1,1,ROYAL PALMS DIAMOND ISLE PHASE I AAREY MILK COLONY
882,MAHARAJA TOWER,GOKULDHAM,13000.0,260.0,50.0,1.0,1.0,1.0,0,1,0,1,MAHARAJA TOWER GOKULDHAM
883,ROYAL PALMS,GOREGAON EAST,12040.0,280.0,43.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
884,GARDEN VIEW APARTMENT,AAREY MILK COLONY,11934.0,234.0,51.0,1.0,1.0,0.0,0,0,0,0,GARDEN VIEW APARTMENT AAREY MILK COLONY
885,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,12060.0,180.0,67.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
886,BUILDER FLOOR,GOREGAON WEST,11500.0,500.0,23.0,1.0,1.0,0.5,0,0,0,0,BUILDER FLOOR GOREGAON WEST
887,OTHER,AZAD NAGAR,10000.0,500.0,20.0,2.0,2.0,1.0,0,0,0,0,OTHER AZAD NAGAR
888,OTHER,GOREGAON WEST,9620.0,260.0,37.0,1.0,1.0,0.5,0,0,0,0,OTHER GOREGAON WEST
889,RESIDENTIAL HOUSE FOR RENT,GOREGAON EAST,9000.0,200.0,45.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON EAST
890,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,8000.0,250.0,32.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
891,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,7950.0,150.0,53.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
892,RESIDENTIAL HOUSE FOR RENT,SHIVAJI NAGAR,3000.0,100.0,30.0,1.0,1.0,0.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT SHIVAJI NAGAR
893,OBEROI ESQUIRE,GOREGAON EAST,369000.0,2050.0,180.0,4.0,4.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
894,OBEROI ESQUIRE,GOREGAON EAST,359275.0,2053.0,175.0,4.0,5.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
895,OBEROI ESQUIRE,GOREGAON EAST,349866.0,2046.0,171.0,4.0,5.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
896,OBEROI ESQUIRE,GOREGAON EAST,305350.0,1550.0,197.0,3.0,4.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
897,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,300000.0,2500.0,120.0,3.0,4.0,1.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
898,OBEROI ESQUIRE,GOREGAON EAST,300700.0,1550.0,194.0,3.0,4.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
899,OBEROI ESQUIRE,GOREGAON EAST,249810.0,1514.0,165.0,3.0,5.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
900,LODHA FIORENZA,GOREGAON EAST,250800.0,2200.0,114.0,4.0,4.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
901,OBEROI WOODS,GOREGAON EAST,249600.0,2600.0,96.0,4.0,3.0,0.5,1,1,1,1,OBEROI WOODS GOREGAON EAST
902,WADHWA AQUARIA GRANDE,GOREGAON EAST,250000.0,2500.0,100.0,4.0,4.0,0.0,0,0,0,0,WADHWA AQUARIA GRANDE GOREGAON EAST
903,LODHA FIORENZA,GOREGAON EAST,250360.0,2276.0,110.0,4.0,5.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
904,LODHA FIORENZA,GOREGAON EAST,239311.0,1433.0,167.0,4.0,4.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
905,OBEROI WOODS,AAREY MILK COLONY,235800.0,1800.0,131.0,3.0,3.0,0.0,1,1,1,1,OBEROI WOODS AAREY MILK COLONY
906,OBEROI WOODS,GOREGAON EAST,224400.0,1700.0,132.0,4.0,4.0,1.0,1,1,1,1,OBEROI WOODS GOREGAON EAST
907,DB WOODS,GOKULDHAM,210035.0,1765.0,119.0,4.0,4.0,0.0,0,1,1,1,DB WOODS GOKULDHAM
908,IMPERIAL HEIGHTS PHASE,GOREGAON WEST,210816.0,1952.0,108.0,5.0,4.0,0.0,0,0,0,0,IMPERIAL HEIGHTS PHASE GOREGAON WEST
909,DB WOODS,GOKULDHAM,210800.0,1700.0,124.0,4.0,3.0,0.0,0,1,1,1,DB WOODS GOKULDHAM
910,DB WOODS,GOKULDHAM,200600.0,1700.0,118.0,4.0,4.0,0.0,0,1,1,1,DB WOODS GOKULDHAM
911,OTHER,GOREGAON EAST,199985.0,1081.0,185.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
912,WADHWA IMPERIAL HEIGHTS,GOREGAON WEST,180600.0,1400.0,129.0,4.0,4.0,0.0,1,0,1,0,WADHWA IMPERIAL HEIGHTS GOREGAON WEST
913,OTHER,AAREY MILK COLONY,180527.0,1081.0,167.0,3.0,3.0,0.0,0,0,0,0,OTHER AAREY MILK COLONY
914,OTHER,FILM CITY ROAD,180400.0,1100.0,164.0,3.0,3.0,0.0,0,0,0,0,OTHER FILM CITY ROAD
915,OTHER,GOREGAON EAST,177284.0,1081.0,164.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
916,OTHER,GOREGAON EAST,175122.0,1081.0,162.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
917,OBEROI ESQUIRE,GOREGAON EAST,169880.0,1370.0,124.0,3.0,3.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
918,OTHER,GOREGAON EAST,169717.0,1081.0,157.0,3.0,3.0,1.0,0,0,0,0,OTHER GOREGAON EAST
919,OTHER,GOREGAON EAST,167328.0,996.0,168.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
920,OTHER,GOREGAON EAST,167328.0,996.0,168.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
921,OBEROI EXQUISITE,GOREGAON EAST,165393.0,1081.0,153.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
922,OBEROI EXQUISITE,GOREGAON EAST,161000.0,1150.0,140.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
923,IMPERIAL HEIGHTS THE EPITOME,GOREGAON WEST,160714.0,1502.0,107.0,4.0,4.0,0.0,0,0,0,0,IMPERIAL HEIGHTS THE EPITOME GOREGAON WEST
924,OTHER,GOREGAON EAST,160000.0,1250.0,128.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
925,OBEROI EXQUISITE II,GOREGAON EAST,160356.0,996.0,161.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE II GOREGAON EAST
926,OTHER,GOREGAON EAST,159988.0,1081.0,148.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
927,OTHER,GOREGAON EAST,160000.0,1250.0,128.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
928,OTHER,AAREY MILK COLONY,159988.0,1081.0,148.0,3.0,3.0,0.0,0,0,0,0,OTHER AAREY MILK COLONY
929,OTHER,FILM CITY ROAD,160650.0,1350.0,119.0,3.0,3.0,0.0,0,0,0,0,OTHER FILM CITY ROAD
930,OBEROI EXQUISITE,GOREGAON EAST,159988.0,1081.0,148.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
931,OBEROI EXQUISITE II,GOKULDHAM,160650.0,1350.0,119.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE II GOKULDHAM
932,OBEROI EXQUISITE,GOREGAON EAST,160356.0,996.0,161.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
933,OTHER,GOREGAON EAST,154583.0,1081.0,143.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
934,OBEROI EXQUISITE,GOREGAON EAST,154580.0,1180.0,131.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
935,OBEROI EXQUISITE,GOREGAON EAST,155211.0,1167.0,133.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
936,OBEROI EXQUISITE,GOREGAON EAST,155250.0,1150.0,135.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
937,OBEROI EXQUISITE,GOREGAON EAST,153502.0,1081.0,142.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
938,OBEROI EXQUISITE,GOREGAON EAST,152388.0,996.0,153.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
939,OBEROI EXQUISITE II,GOREGAON EAST,150259.0,1081.0,139.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE II GOREGAON EAST
940,GARDEN ESTATE,GOREGAON WEST,149776.0,2024.0,74.0,4.0,5.0,0.0,1,1,1,1,GARDEN ESTATE GOREGAON WEST
941,OBEROI EXQUISITE,GOREGAON EAST,150259.0,1081.0,139.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
942,OBEROI EXQUISITE,GOREGAON EAST,149240.0,1820.0,82.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
943,OBEROI EXQUISITE,GOREGAON EAST,150259.0,1081.0,139.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
944,OBEROI EXQUISITE,GOREGAON EAST,150259.0,1081.0,139.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
945,OBEROI EXQUISITE,GOREGAON EAST,149500.0,1150.0,130.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
946,OTHER,FILM CITY ROAD,150259.0,1081.0,139.0,3.0,3.0,0.0,0,0,0,0,OTHER FILM CITY ROAD
947,OTHER,GOKULDHAM,150259.0,1081.0,139.0,3.0,3.0,0.0,0,0,0,0,OTHER GOKULDHAM
948,OTHER,SAI BABA COMPLEX,150396.0,996.0,151.0,3.0,3.0,0.0,0,0,0,0,OTHER SAI BABA COMPLEX
949,OTHER,GOREGAON EAST,150290.0,1330.0,113.0,3.0,3.0,0.5,0,0,0,0,OTHER GOREGAON EAST
950,OBEROI EXQUISITE II,GOREGAON EAST,145140.0,1180.0,123.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE II GOREGAON EAST
951,OTHER,GOREGAON EAST,145197.0,1241.0,117.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
952,OBEROI EXQUISITE II,GOREGAON EAST,145410.0,1310.0,111.0,3.0,3.0,0.5,1,1,1,1,OBEROI EXQUISITE II GOREGAON EAST
953,OTHER,AAREY MILK COLONY,145200.0,1100.0,132.0,3.0,3.0,0.0,0,0,0,0,OTHER AAREY MILK COLONY
954,OTHER,GOREGAON EAST,140170.0,1070.0,131.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
955,OTHER,GOREGAON EAST,140436.0,996.0,141.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
956,OBEROI EXQUISITE,GOREGAON EAST,140436.0,996.0,141.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
957,OBEROI EXQUISITE,GOREGAON EAST,140436.0,996.0,141.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
958,OBEROI EXQUISITE,GOREGAON EAST,140436.0,996.0,141.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
959,OBEROI EXQUISITE,GOREGAON EAST,140530.0,1081.0,130.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
960,OBEROI EXQUISITE,GOREGAON EAST,139100.0,1300.0,107.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
961,OBEROI EXQUISITE,GOREGAON EAST,139150.0,1150.0,121.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
962,OTHER,GOREGAON EAST,135240.0,980.0,138.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
963,OTHER,GOREGAON EAST,135456.0,996.0,136.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
964,OTHER,GOREGAON EAST,130150.0,950.0,137.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
965,OBEROI EXQUISITE,GOREGAON EAST,129950.0,1150.0,113.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
966,OTHER,AAREY MILK COLONY,129720.0,1081.0,120.0,3.0,3.0,0.0,0,0,0,0,OTHER AAREY MILK COLONY
967,OBEROI EXQUISITE,GOREGAON EAST,130476.0,996.0,131.0,3.0,3.0,0.0,1,1,1,1,OBEROI EXQUISITE GOREGAON EAST
968,LODHA FIORENZA,GOREGAON EAST,119928.0,789.0,152.0,3.0,3.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
969,OBEROI WOODS,GOREGAON EAST,110250.0,1050.0,105.0,3.0,2.0,1.0,1,1,1,1,OBEROI WOODS GOREGAON EAST
970,ROMELL AETHER,VISHVESHWAR NAGAR,110250.0,1050.0,105.0,3.0,3.0,0.0,0,0,1,0,ROMELL AETHER VISHVESHWAR NAGAR
971,ROMELL AETHER,VISHVESHWAR NAGAR,105300.0,900.0,117.0,3.0,3.0,0.5,0,0,1,0,ROMELL AETHER VISHVESHWAR NAGAR
972,ROMELL AETHER,GOREGAON EAST,104800.0,800.0,131.0,3.0,3.0,0.0,0,0,1,0,ROMELL AETHER GOREGAON EAST
973,ROMELL AETHER,GOREGAON EAST,105120.0,720.0,146.0,3.0,3.0,1.0,0,0,1,0,ROMELL AETHER GOREGAON EAST
974,LODHA FIORENZA,GOREGAON EAST,100203.0,789.0,127.0,3.0,3.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
975,ROMELL AETHER,GOREGAON EAST,100100.0,1100.0,91.0,3.0,3.0,1.0,0,0,1,0,ROMELL AETHER GOREGAON EAST
976,ROMELL AETHER,AAREY MILK COLONY,100440.0,930.0,108.0,3.0,3.0,0.0,0,0,1,0,ROMELL AETHER AAREY MILK COLONY
977,ROMELL AETHER,PAHADI GOREGAON EAST,100050.0,1150.0,87.0,3.0,3.0,0.0,0,0,1,0,ROMELL AETHER PAHADI GOREGAON EAST
978,ROMELL AETHER,GOREGAON EAST,100000.0,800.0,125.0,3.0,3.0,1.0,0,0,1,0,ROMELL AETHER GOREGAON EAST
979,OTHER,GOKULDHAM,89790.0,1230.0,73.0,3.0,4.0,0.0,0,0,0,0,OTHER GOKULDHAM
980,LODHA FIORENZA,GOREGAON EAST,90280.0,740.0,122.0,2.0,2.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
981,LODHA FIORENZA,GOREGAON EAST,90300.0,700.0,129.0,2.0,3.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
982,SUNTECK CITY AVENUE,GOREGAON WEST,85008.0,1012.0,84.0,3.0,2.0,1.0,0,0,1,0,SUNTECK CITY AVENUE GOREGAON WEST
983,LODHA FIORENZA,GOREGAON EAST,84960.0,720.0,118.0,2.0,3.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
984,OTHER,GOREGAON WEST,85050.0,1050.0,81.0,3.0,3.0,0.5,0,0,0,0,OTHER GOREGAON WEST
985,LODHA FIORENZA,GOREGAON EAST,81900.0,700.0,117.0,2.0,2.0,0.0,1,1,1,1,LODHA FIORENZA GOREGAON EAST
986,RAHEJA HEIGHTS PHASE,FILM CITY ROAD,80300.0,1100.0,73.0,3.0,3.0,0.0,1,1,1,1,RAHEJA HEIGHTS PHASE FILM CITY ROAD
987,LAKSHCHANDI HEIGHT,GOKULDHAM,80000.0,800.0,100.0,2.0,2.0,0.0,1,1,1,1,LAKSHCHANDI HEIGHT GOKULDHAM
988,SUNTECK CITY,GOREGAON WEST,75115.0,905.0,83.0,2.0,2.0,0.0,0,0,1,1,SUNTECK CITY GOREGAON WEST
989,RUSHI HEIGHTS,FILM CITY ROAD,74700.0,900.0,83.0,3.0,3.0,0.0,1,1,1,1,RUSHI HEIGHTS FILM CITY ROAD
990,SWAPNALOK TOWER,GOREGAON EAST,72250.0,850.0,85.0,3.0,3.0,0.0,1,1,1,1,SWAPNALOK TOWER GOREGAON EAST
991,WADHWA ANMOL FORTUNE,GOREGAON WEST,69750.0,775.0,90.0,2.0,2.0,1.0,0,0,1,1,WADHWA ANMOL FORTUNE GOREGAON WEST
992,JP DECKS BLUE,GOKULDHAM,69750.0,750.0,93.0,2.0,2.0,0.0,0,1,1,1,JP DECKS BLUE GOKULDHAM
