,Society,Location,Rent,Carpet Area,Rate,BHK,Bath,Furnished,Power Back Up,Lift,Swimming Pool,Gym,Loc
669,BIMBISAR NAGAR,GOREGAON EAST,35100.0,450.0,78.0,1.0,1.0,1.0,0,0,0,0,BIMBISAR NAGAR GOREGAON EAST
670,JYOTI COMPLEX,GOREGAON EAST,35200.0,440.0,80.0,1.0,2.0,1.0,1,1,0,0,JYOTI COMPLEX GOREGAON EAST
671,OTHER,GOREGAON WEST,35200.0,440.0,80.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON WEST
672,GOKULDHAM,FILM CITY ROAD,34800.0,580.0,60.0,2.0,2.0,0.0,0,0,0,0,GOKULDHAM FILM CITY ROAD
673,GARDEN VIEW APARTMENT,GOREGAON EAST,35100.0,900.0,39.0,3.0,3.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT GOREGAON EAST
674,GARDEN VIEW APARTMENT,GOREGAON EAST,35100.0,900.0,39.0,3.0,3.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT GOREGAON EAST
675,SAI BABA COMPLEX,AAREY MILK COLONY,34830.0,430.0,81.0,1.0,1.0,0.5,0,1,0,0,SAI BABA COMPLEX AAREY MILK COLONY
676,VALENTINE APARTMENTS,GOKULDHAM,34830.0,430.0,81.0,1.0,2.0,0.0,0,0,0,0,VALENTINE APARTMENTS GOKULDHAM
677,VALENTINE APARTMENTS,FILM CITY ROAD,35200.0,400.0,88.0,1.0,1.0,0.5,0,0,0,0,VALENTINE APARTMENTS FILM CITY ROAD
678,CRYSTAL ISLE APARTMENT,GOREGAON EAST,35000.0,1400.0,25.0,3.0,3.0,0.0,0,0,0,0,CRYSTAL ISLE APARTMENT GOREGAON EAST
679,BHOOMI SAMARTH,CAMA INDUSTRIAL ESTATE,35178.0,451.0,78.0,1.0,2.0,0.5,0,0,0,0,BHOOMI SAMARTH CAMA INDUSTRIAL ESTATE
680,PRAYAG HEIGHTS,GOKULDHAM,35200.0,400.0,88.0,1.0,1.0,0.0,0,1,1,1,PRAYAG HEIGHTS GOKULDHAM
681,JYOTI COMPLEX,FILM CITY ROAD,35200.0,400.0,88.0,1.0,2.0,0.5,1,1,0,0,JYOTI COMPLEX FILM CITY ROAD
682,OTHER,GOREGAON WEST,35000.0,350.0,100.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
683,OTHER,SUBHASH NAGAR,34800.0,400.0,87.0,1.0,1.0,0.0,0,0,0,0,OTHER SUBHASH NAGAR
684,OTHER,SUBHASH NAGAR,34220.0,580.0,59.0,1.0,2.0,1.0,0,0,0,0,OTHER SUBHASH NAGAR
685,EMERALD ISLE,AAREY MILK COLONY,34272.0,672.0,51.0,2.0,2.0,1.0,0,1,0,0,EMERALD ISLE AAREY MILK COLONY
686,GSA GRANDEUR,GOREGAON EAST,34030.0,410.0,83.0,1.0,1.0,1.0,0,0,0,0,GSA GRANDEUR GOREGAON EAST
687,VALENTINE APARTMENTS,FILM CITY ROAD,32800.0,410.0,80.0,1.0,1.0,1.0,0,0,0,0,VALENTINE APARTMENTS FILM CITY ROAD
688,OTHER,SAI BABA COMPLEX,33150.0,650.0,51.0,2.0,2.0,0.5,0,0,0,0,OTHER SAI BABA COMPLEX
689,OTHER,GOREGAON EAST,33000.0,440.0,75.0,1.0,1.0,1.0,0,0,0,0,OTHER GOREGAON EAST
690,GOKULDHAM,GOREGAON EAST,31720.0,610.0,52.0,2.0,2.0,0.5,0,0,0,0,GOKULDHAM GOREGAON EAST
691,OTHER,SAI BABA COMPLEX,32000.0,500.0,64.0,1.0,1.0,1.0,0,0,0,0,OTHER SAI BABA COMPLEX
692,SHALIMAR MIRACLE,JAWAHAR NAGAR,32040.0,360.0,89.0,1.0,1.0,0.5,0,0,0,0,SHALIMAR MIRACLE JAWAHAR NAGAR
693,GOKULDHAM,GOREGAON EAST,31800.0,600.0,53.0,2.0,2.0,0.5,0,0,0,0,GOKULDHAM GOREGAON EAST
694,OTHER,GOREGAON EAST,31875.0,625.0,51.0,2.0,2.0,1.0,0,0,0,0,OTHER GOREGAON EAST
695,PRAYAG HEIGHTS,FILM CITY,31950.0,450.0,71.0,1.0,1.0,0.5,0,1,1,1,PRAYAG HEIGHTS FILM CITY
696,OTHER,SONAWALA INDUSTRIAL ESTATE,32000.0,500.0,64.0,1.0,1.0,0.0,0,0,0,0,OTHER SONAWALA INDUSTRIAL ESTATE
697,JAI TARAMANI,BANGUR NAGAR,32160.0,480.0,67.0,1.0,1.0,0.0,0,0,0,0,JAI TARAMANI BANGUR NAGAR
698,PRAYAG HEIGHTS,GOREGAON EAST,32120.0,440.0,73.0,1.0,2.0,0.0,0,1,1,1,PRAYAG HEIGHTS GOREGAON EAST
699,OTHER,BANGUR NAGAR,31960.0,470.0,68.0,1.0,1.0,0.5,0,0,0,0,OTHER BANGUR NAGAR
700,SAMADHAN CHS APARTMENT,GOREGAON WEST,32100.0,300.0,107.0,1.0,1.0,0.0,1,1,0,1,SAMADHAN CHS APARTMENT GOREGAON WEST
701,OTHER,GOREGAON WEST,32000.0,500.0,64.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON WEST
702,OTHER,GOREGAON WEST,32000.0,500.0,64.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON WEST
703,OTHER,GOREGAON WEST,31850.0,350.0,91.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
704,PRAYAG HEIGHTS,GOREGAON EAST,31570.0,410.0,77.0,1.0,2.0,0.0,0,1,1,1,PRAYAG HEIGHTS GOREGAON EAST
705,OTHER,GOREGAON WEST,30861.0,381.0,81.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON WEST
706,OTHER,GOREGAON EAST,30740.0,580.0,53.0,1.0,2.0,1.0,0,0,0,0,OTHER GOREGAON EAST
707,VELENTINE APARTMENT VI,FILM CITY ROAD,31200.0,400.0,78.0,1.0,1.0,0.0,1,1,0,0,VELENTINE APARTMENT VI FILM CITY ROAD
708,PRAYAG HEIGHTS,GOREGAON EAST,31200.0,400.0,78.0,1.0,2.0,0.5,0,1,1,1,PRAYAG HEIGHTS GOREGAON EAST
709,MANTRI PARK,GOREGAON EAST,29792.0,784.0,38.0,1.0,2.0,0.5,1,1,1,1,MANTRI PARK GOREGAON EAST
710,GALAXY HEIGHTS,BANGUR NAGAR,29880.0,415.0,72.0,1.0,2.0,0.0,1,1,0,0,GALAXY HEIGHTS BANGUR NAGAR
711,ROYAL PALMS RUBY ISLE APARTMENT,GOREGAON EAST,30400.0,800.0,38.0,2.0,2.0,1.0,1,1,1,1,ROYAL PALMS RUBY ISLE APARTMENT GOREGAON EAST
712,GARDEN VIEW APARTMENT,ROYAL PALMS ESTATE,29960.0,535.0,56.0,2.0,2.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT ROYAL PALMS ESTATE
713,OTHER,GOREGAON,30000.0,600.0,50.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON
714,OTHER,FILM CITY ROAD,30000.0,500.0,60.0,1.0,1.0,0.5,0,0,0,0,OTHER FILM CITY ROAD
715,OTHER,GOKULDHAM,30000.0,500.0,60.0,1.0,2.0,0.0,0,0,0,0,OTHER GOKULDHAM
717,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,29725.0,725.0,41.0,1.0,1.0,0.5,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
719,OTHER,SHREYAS COLONY,30030.0,390.0,77.0,1.0,1.0,0.5,0,0,0,0,OTHER SHREYAS COLONY
720,SETHIA SEAVIEW,GOREGAON WEST,30030.0,390.0,77.0,1.0,2.0,0.0,1,0,1,1,SETHIA SEAVIEW GOREGAON WEST
721,DHARIWAL AANGAN,GOREGAON WEST,30000.0,400.0,75.0,1.0,1.0,0.0,1,1,0,0,DHARIWAL AANGAN GOREGAON WEST
722,SETHIA SEAVIEW,GOREGAON WEST,30030.0,390.0,77.0,1.0,2.0,0.0,1,0,1,1,SETHIA SEAVIEW GOREGAON WEST
723,SETHIA SEAVIEW,GOREGAON WEST,30100.0,430.0,70.0,1.0,2.0,0.0,1,0,1,1,SETHIA SEAVIEW GOREGAON WEST
724,OTHER,FILM CITY ROAD,29820.0,420.0,71.0,1.0,2.0,0.0,0,0,0,0,OTHER FILM CITY ROAD
725,AMI JHARNA,GOKULDHAM,30000.0,400.0,75.0,1.0,2.0,1.0,1,1,0,0,AMI JHARNA GOKULDHAM
726,OTHER,GOKULDHAM,30000.0,400.0,75.0,1.0,2.0,0.0,0,0,0,0,OTHER GOKULDHAM
727,BHOOMI SAMARTH,GOREGAON EAST,29920.0,340.0,88.0,1.0,2.0,0.0,0,0,0,0,BHOOMI SAMARTH GOREGAON EAST
728,BHOOMI SAMARTH,GOREGAON EAST,29848.0,328.0,91.0,1.0,2.0,0.5,0,0,0,0,BHOOMI SAMARTH GOREGAON EAST
729,SUMMIT APARTMENT,ROYAL PALMS ESTATE,30380.0,980.0,31.0,3.0,3.0,0.0,1,1,1,1,SUMMIT APARTMENT ROYAL PALMS ESTATE
730,KSHITIJ CHS,FILM CITY ROAD,30175.0,425.0,71.0,1.0,1.0,0.5,1,1,0,0,KSHITIJ CHS FILM CITY ROAD
731,OTHER,GOREGAON EAST,30000.0,625.0,48.0,2.0,2.0,1.0,0,0,0,0,OTHER GOREGAON EAST
732,SAMADHAN CHS APARTMENT,GOREGAON WEST,30100.0,350.0,86.0,1.0,1.0,0.0,1,1,0,1,SAMADHAN CHS APARTMENT GOREGAON WEST
733,ROYAL PALMS,GOREGAON EAST,28910.0,590.0,49.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
734,GOKULDHAM,GOKULDHAM,29150.0,550.0,53.0,2.0,2.0,0.5,0,0,0,0,GOKULDHAM GOKULDHAM
735,OTHER,GOREGAON WEST,29050.0,415.0,70.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
736,JYOTI COMPLEX,FILM CITY ROAD,29200.0,400.0,73.0,1.0,2.0,0.0,1,1,0,0,JYOTI COMPLEX FILM CITY ROAD
737,OTHER,GOREGAON EAST,28500.0,500.0,57.0,1.0,1.0,1.0,0,0,0,0,OTHER GOREGAON EAST
738,ROYAL PALMS,GOREGAON EAST,28200.0,600.0,47.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
739,JYOTI COMPLEX,GOREGAON EAST,28140.0,420.0,67.0,1.0,2.0,0.5,1,1,0,0,JYOTI COMPLEX GOREGAON EAST
740,BUILDER FLOOR GOREGAON GOKULDHAM SOCIETY,GOREGAON EAST,28130.0,485.0,58.0,2.0,1.0,0.5,0,1,0,0,BUILDER FLOOR GOREGAON GOKULDHAM SOCIETY GOREGAON EAST
741,OTHER,GOKULDHAM,28250.0,565.0,50.0,1.0,1.0,1.0,0,0,0,0,OTHER GOKULDHAM
742,OTHER,GOREGAON EAST,27900.0,450.0,62.0,1.0,2.0,1.0,0,0,0,0,OTHER GOREGAON EAST
743,MANTRI PARK,FILM CITY ROAD,28160.0,440.0,64.0,1.0,1.0,0.5,1,1,1,1,MANTRI PARK FILM CITY ROAD
744,SETHIA GREEN VIEW,GOREGAON WEST,27880.0,410.0,68.0,1.0,2.0,0.0,0,0,0,0,SETHIA GREEN VIEW GOREGAON WEST
745,OTHER,GOREGAON WEST,27880.0,410.0,68.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
746,ROYAL PALMS DIAMOND ISLE PHASE II,GOREGAON EAST,28125.0,625.0,45.0,2.0,2.0,1.0,0,1,0,0,ROYAL PALMS DIAMOND ISLE PHASE II GOREGAON EAST
747,GARDEN VIEW APARTMENT,AAREY MILK COLONY,28140.0,670.0,42.0,2.0,2.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT AAREY MILK COLONY
748,ACME AKANKSHA,GOREGAON WEST,28000.0,400.0,70.0,1.0,1.0,0.0,1,1,0,0,ACME AKANKSHA GOREGAON WEST
749,ROYAL PALMS,GOREGAON EAST,28000.0,800.0,35.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
750,POONAM ENCLAVE,FILM CITY ROAD,27880.0,410.0,68.0,1.0,1.0,0.5,0,1,0,0,POONAM ENCLAVE FILM CITY ROAD
751,JYOTI COMPLEX,FILM CITY ROAD,27840.0,435.0,64.0,1.0,2.0,0.0,1,1,0,0,JYOTI COMPLEX FILM CITY ROAD
752,OTHER,GOREGAON EAST,28380.0,860.0,33.0,2.0,2.0,0.0,0,0,0,0,OTHER GOREGAON EAST
753,ROYAL PALMS,GOREGAON EAST,28000.0,800.0,35.0,3.0,3.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
754,OTHER,GOREGAON EAST,28380.0,860.0,33.0,3.0,3.0,0.0,0,0,0,0,OTHER GOREGAON EAST
755,KSHITIJ CHS,FILM CITY ROAD,28000.0,400.0,70.0,1.0,1.0,0.0,1,1,0,0,KSHITIJ CHS FILM CITY ROAD
756,SUMMIT APARTMENT,AAREY MILK COLONY,28210.0,910.0,31.0,3.0,3.0,0.0,1,1,1,1,SUMMIT APARTMENT AAREY MILK COLONY
757,GOKULDHAM,GOKULDHAM,28080.0,360.0,78.0,1.0,1.0,1.0,0,0,0,0,GOKULDHAM GOKULDHAM
758,ROYAL PALMS,GOREGAON EAST,27600.0,600.0,46.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
759,ACME AAKANSHA I,GOREGAON WEST,27600.0,400.0,69.0,1.0,2.0,0.0,0,0,0,0,ACME AAKANSHA I GOREGAON WEST
760,GALAXY HEIGHTS,MITHA NAGAR,27000.0,450.0,60.0,1.0,2.0,0.5,1,1,0,0,GALAXY HEIGHTS MITHA NAGAR
761,OTHER,GOREGAON EAST,27000.0,450.0,60.0,2.0,2.0,1.0,0,0,0,0,OTHER GOREGAON EAST
762,GOLDEN ISLE,ROYAL PALMS ESTATE,27090.0,430.0,63.0,2.0,2.0,0.5,0,0,0,0,GOLDEN ISLE ROYAL PALMS ESTATE
763,ROYAL PALMS,GOREGAON EAST,21450.0,650.0,33.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
764,POONAM ENCLAVE,GOKULDHAM,26880.0,420.0,64.0,1.0,2.0,0.5,0,1,0,0,POONAM ENCLAVE GOKULDHAM
765,GOKULDHAM,GOREGAON,26950.0,550.0,49.0,1.0,2.0,0.0,0,0,0,0,GOKULDHAM GOREGAON
766,OTHER,GOREGAON EAST,26910.0,390.0,69.0,1.0,1.0,0.5,0,0,0,0,OTHER GOREGAON EAST
767,OTHER,GOKULDHAM,26970.0,465.0,58.0,1.0,2.0,0.0,0,0,0,0,OTHER GOKULDHAM
768,POONAM ENCLAVE,FILM CITY ROAD,27060.0,410.0,66.0,1.0,1.0,0.0,0,1,0,0,POONAM ENCLAVE FILM CITY ROAD
769,KSHITIJ CHS,FILM CITY ROAD,27200.0,400.0,68.0,1.0,1.0,0.5,1,1,0,0,KSHITIJ CHS FILM CITY ROAD
770,JAI RAJ RATNA,GOREGAON WEST,27200.0,850.0,32.0,2.0,2.0,0.0,1,1,0,0,JAI RAJ RATNA GOREGAON WEST
771,MANTRI PARK,FILM CITY ROAD,27000.0,450.0,60.0,1.0,2.0,0.5,1,1,1,1,MANTRI PARK FILM CITY ROAD
772,ROYAL PALMS DIAMOND ISLE PHASE II,AAREY MILK COLONY,25850.0,550.0,47.0,2.0,2.0,1.0,0,1,0,0,ROYAL PALMS DIAMOND ISLE PHASE II AAREY MILK COLONY
773,OTHER,MAHESH NAGAR,26250.0,525.0,50.0,1.0,2.0,0.0,0,0,0,0,OTHER MAHESH NAGAR
774,SUCHIDHAM COMPLEX,GOREGAON EAST,26040.0,420.0,62.0,1.0,2.0,0.5,0,0,0,0,SUCHIDHAM COMPLEX GOREGAON EAST
775,SUCHIDHAM COMPLEX,GOREGAON EAST,25320.0,422.0,60.0,1.0,2.0,0.5,0,0,0,0,SUCHIDHAM COMPLEX GOREGAON EAST
776,ROYAL PALMS DIAMOND ISLE PHASE I,ROYAL PALMS ESTATE,25145.0,535.0,47.0,2.0,2.0,1.0,1,1,1,1,ROYAL PALMS DIAMOND ISLE PHASE I ROYAL PALMS ESTATE
777,GARDEN VIEW APARTMENT,ROYAL PALMS ESTATE,24840.0,540.0,46.0,2.0,2.0,0.5,0,0,0,0,GARDEN VIEW APARTMENT ROYAL PALMS ESTATE
778,PIRAMAL APARTMENT,GOREGAON EAST,25200.0,400.0,63.0,1.0,1.0,0.5,0,0,0,0,PIRAMAL APARTMENT GOREGAON EAST
779,OTHER,JAWAHAR NAGAR,25000.0,500.0,50.0,1.0,1.0,0.5,0,0,0,0,OTHER JAWAHAR NAGAR
780,OTHER,KANYA PADA,25200.0,400.0,63.0,1.0,1.0,0.0,0,0,0,0,OTHER KANYA PADA
781,SANKALP SIDDHI,FILM CITY ROAD,25200.0,450.0,56.0,1.0,2.0,0.5,0,0,0,0,SANKALP SIDDHI FILM CITY ROAD
782,OTHER,ROYAL PALMS ESTATE,24780.0,590.0,42.0,2.0,2.0,0.0,0,0,0,0,OTHER ROYAL PALMS ESTATE
783,DINDOSHI MAHAD COMPLEX,FILM CITY ROAD,24900.0,415.0,60.0,1.0,2.0,0.5,0,0,0,0,DINDOSHI MAHAD COMPLEX FILM CITY ROAD
784,SUCHIDHAM COMPLEX,GOREGAON EAST,24960.0,390.0,64.0,1.0,1.0,0.5,0,0,0,0,SUCHIDHAM COMPLEX GOREGAON EAST
785,ROYAL PALMS GARDEN VIEW,ROYAL PALMS ESTATE,25000.0,625.0,40.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GARDEN VIEW ROYAL PALMS ESTATE
786,SHUCHI HEIGHTS,GOREGAON EAST,25000.0,500.0,50.0,1.0,1.0,0.5,0,1,0,0,SHUCHI HEIGHTS GOREGAON EAST
787,MANTRI PARK,GOREGAON EAST,25175.0,475.0,53.0,1.0,1.0,0.5,1,1,1,1,MANTRI PARK GOREGAON EAST
788,SUCHIDHAM COMPLEX,GOREGAON EAST,24940.0,430.0,58.0,1.0,2.0,0.5,0,0,0,0,SUCHIDHAM COMPLEX GOREGAON EAST
789,GARDEN VIEW APARTMENT,AAREY MILK COLONY,25025.0,385.0,65.0,1.0,1.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT AAREY MILK COLONY
790,BHANUSHANTI APARTMENT,GOREGAON EAST,24750.0,550.0,45.0,1.0,1.0,0.0,1,1,0,1,BHANUSHANTI APARTMENT GOREGAON EAST
791,ROYAL PALMS,AAREY MILK COLONY,24960.0,390.0,64.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS AAREY MILK COLONY
792,ROYAL PALMS,ROYAL PALMS ESTATE,25080.0,380.0,66.0,1.0,1.0,1.0,0,0,0,0,ROYAL PALMS ROYAL PALMS ESTATE
793,ROYAL PALM ISLAND CHS,ROYAL PALMS ESTATE,24960.0,390.0,64.0,1.0,1.0,1.0,0,0,0,0,ROYAL PALM ISLAND CHS ROYAL PALMS ESTATE
794,GARDEN VIEW APARTMENT,ROYAL PALMS ESTATE,24960.0,390.0,64.0,1.0,1.0,1.0,0,0,0,0,GARDEN VIEW APARTMENT ROYAL PALMS ESTATE
795,MOROCCAN COOPERATIVE HOUSING SOCIETY,ROYAL PALMS ESTATE,25160.0,370.0,68.0,1.0,1.0,1.0,0,0,0,0,MOROCCAN COOPERATIVE HOUSING SOCIETY ROYAL PALMS ESTATE
796,OTHER,GOREGAON EAST,24850.0,350.0,71.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
797,ROYAL PALMS,AAREY MILK COLONY,25200.0,700.0,36.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS AAREY MILK COLONY
798,GOREGAON GOKULDHAM SOCIETY,GOREGAON EAST,25080.0,380.0,66.0,1.0,1.0,1.0,0,1,0,0,GOREGAON GOKULDHAM SOCIETY GOREGAON EAST
799,OTHER,GOREGAON WEST,25200.0,400.0,63.0,1.0,2.0,0.0,0,0,0,0,OTHER GOREGAON WEST
800,ROYAL PALMS,GOREGAON EAST,25200.0,600.0,42.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
801,BUILDER FLOOR,ROYAL PALMS ESTATE,24780.0,590.0,42.0,2.0,2.0,0.0,0,0,0,0,BUILDER FLOOR ROYAL PALMS ESTATE
802,AMI JHARNA,GOREGAON EAST,23940.0,420.0,57.0,1.0,2.0,0.5,1,1,0,0,AMI JHARNA GOREGAON EAST
803,OTHER,ROYAL PALMS ESTATE,23780.0,580.0,41.0,1.0,2.0,0.0,0,0,0,0,OTHER ROYAL PALMS ESTATE
804,OTHER,NNP COLONY,24080.0,430.0,56.0,1.0,2.0,0.5,0,0,0,0,OTHER NNP COLONY
805,ROYAL PALMS,AAREY MILK COLONY,23870.0,385.0,62.0,1.0,1.0,1.0,0,0,0,0,ROYAL PALMS AAREY MILK COLONY
806,ROYAL PALMS,AAREY MILK COLONY,24064.0,376.0,64.0,1.0,1.0,0.0,0,0,0,0,ROYAL PALMS AAREY MILK COLONY
807,ROYAL PALMS,GOREGAON EAST,24000.0,400.0,60.0,1.0,1.0,1.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
808,ROYAL PALMS,GOREGAON EAST,23700.0,790.0,30.0,2.0,2.0,0.0,0,0,0,0,ROYAL PALMS GOREGAON EAST
809,RESIDENTIAL HOUSE FOR RENT,GOREGAON WEST,23850.0,450.0,53.0,1.0,1.0,1.0,0,0,0,0,RESIDENTIAL HOUSE FOR RENT GOREGAON WEST
810,OTHER,GOREGAON,24180.0,780.0,31.0,2.0,2.0,0.5,0,0,0,0,OTHER GOREGAON
811,OTHER,GOREGAON EAST,24190.0,410.0,59.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
812,OTHER,GOREGAON EAST,24120.0,360.0,67.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON EAST
813,OTHER,GOREGAON WEST,23870.0,385.0,62.0,1.0,1.0,0.0,0,0,0,0,OTHER GOREGAON WEST
